id,annotation_id,class,order,family,image,ind_id
1671,3596,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file12_frame96_box0_r.png,ID1
1672,3597,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file12_frame97_box0_r.png,ID1
1673,3598,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file12_frame98_box0_r.png,ID1
1674,3599,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file12_frame99_box0_r.png,ID1
1675,3600,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file12_frame100_box1_r.png,ID1
1676,3601,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame827_box0_r.png,ID2
1677,3602,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame828_box0_r.png,ID2
1678,3603,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame829_box0_r.png,ID2
1679,3604,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame830_box0_r.png,ID2
1680,3605,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame831_box0_r.png,ID2
1681,3606,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame832_box0_r.png,ID2
1682,3607,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame833_box0_r.png,ID2
1683,3608,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame834_box0_r.png,ID2
1684,3609,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame835_box0_r.png,ID2
1685,3610,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame836_box0_r.png,ID2
1686,3611,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame837_box0_r.png,ID2
1687,3612,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame562_box0_r.png,ID3
1688,3613,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame563_box0_r.png,ID3
1689,3614,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame564_box0_r.png,ID3
1690,3615,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame565_box0_r.png,ID3
390,2315,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame566_box0_r.png,ID3
391,2316,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame567_box0_r.png,ID3
392,2317,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame568_box0_r.png,ID3
393,2318,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame569_box0_r.png,ID3
394,2319,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame570_box0_r.png,ID3
395,2320,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame571_box0_r.png,ID3
396,2321,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame572_box0_r.png,ID3
397,2322,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame573_box0_r.png,ID3
398,2323,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame574_box0_r.png,ID3
399,2324,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame575_box0_r.png,ID3
400,2325,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame576_box0_r.png,ID3
401,2326,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame577_box0_r.png,ID3
402,2327,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame578_box0_r.png,ID3
403,2328,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame579_box0_r.png,ID3
404,2329,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame580_box0_r.png,ID3
405,2330,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame581_box0_r.png,ID3
406,2331,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame582_box0_r.png,ID3
407,2332,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame583_box0_r.png,ID3
408,2333,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame584_box0_r.png,ID3
409,2334,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame585_box0_r.png,ID3
410,2335,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame586_box0_r.png,ID3
411,2336,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame587_box0_r.png,ID3
412,2337,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame588_box0_r.png,ID3
413,2338,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame590_box0_r.png,ID3
414,2339,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame591_box0_r.png,ID3
415,2340,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame592_box0_r.png,ID3
416,2341,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame593_box0_r.png,ID3
417,2342,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame594_box0_r.png,ID3
418,2343,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame595_box0_r.png,ID3
419,2344,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame596_box0_r.png,ID3
420,2345,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file29_frame961_box0_r.png,ID4
421,2346,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file29_frame962_box0_r.png,ID4
422,2347,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file29_frame963_box0_r.png,ID4
423,2348,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file29_frame964_box0_r.png,ID4
424,2349,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file29_frame965_box0_r.png,ID4
425,2350,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file29_frame966_box0_r.png,ID4
426,2351,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file29_frame967_box0_r.png,ID4
427,2352,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file29_frame968_box0_r.png,ID4
428,2353,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file29_frame969_box0_r.png,ID4
429,2354,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file29_frame970_box0_r.png,ID4
430,2355,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file29_frame971_box0_r.png,ID4
431,2356,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file29_frame972_box0_r.png,ID4
432,2357,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file29_frame973_box0_r.png,ID4
433,2358,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file29_frame974_box0_r.png,ID4
434,2359,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file29_frame975_box0_r.png,ID4
435,2360,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file29_frame976_box0_r.png,ID4
