id,annotation_id,class,order,family,image,ind_id,0,1,2,3,4
1671,3596,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file12_frame96_box0_r.png,ID1,val,train,val,test,train
1672,3597,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file12_frame97_box0_r.png,ID1,val,train,val,test,train
1673,3598,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file12_frame98_box0_r.png,ID1,val,train,val,test,train
1674,3599,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file12_frame99_box0_r.png,ID1,val,train,val,test,train
1675,3600,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file12_frame100_box1_r.png,ID1,val,train,val,test,train
1676,3601,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame827_box0_r.png,ID2,test,train,train,val,val
1677,3602,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame828_box0_r.png,ID2,test,train,train,val,val
1678,3603,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame829_box0_r.png,ID2,test,train,train,val,val
1679,3604,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame830_box0_r.png,ID2,test,train,train,val,val
1680,3605,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame831_box0_r.png,ID2,test,train,train,val,val
1681,3606,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame832_box0_r.png,ID2,test,train,train,val,val
1682,3607,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame833_box0_r.png,ID2,test,train,train,val,val
1683,3608,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame834_box0_r.png,ID2,test,train,train,val,val
1684,3609,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame835_box0_r.png,ID2,test,train,train,val,val
1685,3610,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame836_box0_r.png,ID2,test,train,train,val,val
1686,3611,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file15_frame837_box0_r.png,ID2,test,train,train,val,val
1687,3612,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame562_box0_r.png,ID3,train,train,val,train,test
1688,3613,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame563_box0_r.png,ID3,train,train,val,train,test
1689,3614,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame564_box0_r.png,ID3,train,train,val,train,test
1690,3615,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame565_box0_r.png,ID3,train,train,val,train,test
390,2315,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame566_box0_r.png,ID3,train,train,val,train,test
391,2316,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame567_box0_r.png,ID3,train,train,val,train,test
392,2317,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame568_box0_r.png,ID3,train,train,val,train,test
393,2318,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame569_box0_r.png,ID3,train,train,val,train,test
394,2319,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame570_box0_r.png,ID3,train,train,val,train,test
395,2320,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame571_box0_r.png,ID3,train,train,val,train,test
396,2321,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame572_box0_r.png,ID3,train,train,val,train,test
397,2322,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame573_box0_r.png,ID3,train,train,val,train,test
398,2323,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame574_box0_r.png,ID3,train,train,val,train,test
399,2324,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame575_box0_r.png,ID3,train,train,val,train,test
400,2325,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame576_box0_r.png,ID3,train,train,val,train,test
401,2326,Insecta,Ephemeroptera,Baetidae,11052022_T1_20025419_file25_frame577_box0_r.png,ID3,train,train,val,train,test
